P = 8 | s = 1 | std1 = 1 | tau = 1
P = 8 | s = 1 | std1 = 1 | tau = 1.5
P = 8 | s = 1 | std1 = 1 | tau = 2
P = 8 | s = 1 | std1 = 1 | tau = 2.5
P = 8 | s = 1 | std1 = 1 | tau = 3
P = 8 | s = 1 | std1 = 1 | tau = 3.5
P = 8 | s = 1 | std1 = 1 | tau = 4
P = 8 | s = 1 | std1 = 1 | tau = 4.5
P = 8 | s = 1 | std1 = 1 | tau = 5
P = 8 | s = 1 | std1 = 1 | tau = 5.5
P = 8 | s = 1 | std1 = 1 | tau = 6
P = 8 | s = 1 | std1 = 2 | tau = 1
P = 8 | s = 1 | std1 = 2 | tau = 1.5
P = 8 | s = 1 | std1 = 2 | tau = 2
P = 8 | s = 1 | std1 = 2 | tau = 2.5
P = 8 | s = 1 | std1 = 2 | tau = 3
P = 8 | s = 1 | std1 = 2 | tau = 3.5
P = 8 | s = 1 | std1 = 2 | tau = 4
P = 8 | s = 1 | std1 = 2 | tau = 4.5
P = 8 | s = 1 | std1 = 2 | tau = 5
P = 8 | s = 1 | std1 = 2 | tau = 5.5
P = 8 | s = 1 | std1 = 2 | tau = 6
P = 8 | s = 1 | std1 = 4 | tau = 2
P = 8 | s = 1 | std1 = 4 | tau = 2.5
P = 8 | s = 1 | std1 = 4 | tau = 3
P = 8 | s = 1 | std1 = 4 | tau = 3.5
P = 8 | s = 1 | std1 = 4 | tau = 4
P = 8 | s = 1 | std1 = 4 | tau = 4.5
P = 8 | s = 1 | std1 = 4 | tau = 5
P = 8 | s = 1 | std1 = 4 | tau = 5.5
P = 8 | s = 1 | std1 = 4 | tau = 6
P = 8 | s = 1 | std1 = 8 | tau = 2.5
P = 8 | s = 1 | std1 = 8 | tau = 3
P = 8 | s = 1 | std1 = 8 | tau = 3.5
P = 8 | s = 1 | std1 = 8 | tau = 4
P = 8 | s = 1 | std1 = 8 | tau = 4.5
P = 8 | s = 1 | std1 = 8 | tau = 5
P = 8 | s = 1 | std1 = 8 | tau = 5.5
P = 8 | s = 1 | std1 = 8 | tau = 6
P = 8 | s = 2 | std1 = 1 | tau = 1
P = 8 | s = 2 | std1 = 1 | tau = 1.5
P = 8 | s = 2 | std1 = 1 | tau = 2
P = 8 | s = 2 | std1 = 1 | tau = 2.5
P = 8 | s = 2 | std1 = 1 | tau = 3
P = 8 | s = 2 | std1 = 1 | tau = 3.5
P = 8 | s = 2 | std1 = 1 | tau = 4
P = 8 | s = 2 | std1 = 1 | tau = 4.5
P = 8 | s = 2 | std1 = 1 | tau = 5
P = 8 | s = 2 | std1 = 1 | tau = 5.5
P = 8 | s = 2 | std1 = 1 | tau = 6
P = 8 | s = 2 | std1 = 2 | tau = 1
P = 8 | s = 2 | std1 = 2 | tau = 1.5
P = 8 | s = 2 | std1 = 2 | tau = 2
P = 8 | s = 2 | std1 = 2 | tau = 2.5
P = 8 | s = 2 | std1 = 2 | tau = 3
P = 8 | s = 2 | std1 = 2 | tau = 3.5
P = 8 | s = 2 | std1 = 2 | tau = 4
P = 8 | s = 2 | std1 = 2 | tau = 4.5
P = 8 | s = 2 | std1 = 2 | tau = 5
P = 8 | s = 2 | std1 = 2 | tau = 5.5
P = 8 | s = 2 | std1 = 2 | tau = 6
P = 8 | s = 2 | std1 = 4 | tau = 2
P = 8 | s = 2 | std1 = 4 | tau = 2.5
P = 8 | s = 2 | std1 = 4 | tau = 3
P = 8 | s = 2 | std1 = 4 | tau = 3.5
P = 8 | s = 2 | std1 = 4 | tau = 4
P = 8 | s = 2 | std1 = 4 | tau = 4.5
P = 8 | s = 2 | std1 = 4 | tau = 5
P = 8 | s = 2 | std1 = 4 | tau = 5.5
P = 8 | s = 2 | std1 = 4 | tau = 6
P = 8 | s = 2 | std1 = 8 | tau = 2
P = 8 | s = 2 | std1 = 8 | tau = 2.5
P = 8 | s = 2 | std1 = 8 | tau = 3
P = 8 | s = 2 | std1 = 8 | tau = 3.5
P = 8 | s = 2 | std1 = 8 | tau = 4
P = 8 | s = 2 | std1 = 8 | tau = 4.5
P = 8 | s = 2 | std1 = 8 | tau = 5
P = 8 | s = 2 | std1 = 8 | tau = 5.5
P = 8 | s = 2 | std1 = 8 | tau = 6
P = 16 | s = 1 | std1 = 1 | tau = 1
P = 16 | s = 1 | std1 = 1 | tau = 1.5
P = 16 | s = 1 | std1 = 1 | tau = 2
P = 16 | s = 1 | std1 = 1 | tau = 2.5
P = 16 | s = 1 | std1 = 1 | tau = 3
P = 16 | s = 1 | std1 = 1 | tau = 3.5
P = 16 | s = 1 | std1 = 1 | tau = 4
P = 16 | s = 1 | std1 = 1 | tau = 4.5
P = 16 | s = 1 | std1 = 1 | tau = 5
P = 16 | s = 1 | std1 = 1 | tau = 5.5
P = 16 | s = 1 | std1 = 1 | tau = 6
P = 16 | s = 1 | std1 = 2 | tau = 1.5
P = 16 | s = 1 | std1 = 2 | tau = 2
P = 16 | s = 1 | std1 = 2 | tau = 2.5
P = 16 | s = 1 | std1 = 2 | tau = 3
P = 16 | s = 1 | std1 = 2 | tau = 3.5
P = 16 | s = 1 | std1 = 2 | tau = 4
P = 16 | s = 1 | std1 = 2 | tau = 4.5
P = 16 | s = 1 | std1 = 2 | tau = 5
P = 16 | s = 1 | std1 = 2 | tau = 5.5
P = 16 | s = 1 | std1 = 2 | tau = 6
P = 16 | s = 1 | std1 = 4 | tau = 1.5
P = 16 | s = 1 | std1 = 4 | tau = 2
P = 16 | s = 1 | std1 = 4 | tau = 2.5
P = 16 | s = 1 | std1 = 4 | tau = 3
P = 16 | s = 1 | std1 = 4 | tau = 3.5
P = 16 | s = 1 | std1 = 4 | tau = 4
P = 16 | s = 1 | std1 = 4 | tau = 4.5
P = 16 | s = 1 | std1 = 4 | tau = 5
