




============================================================================
Função: Griewangk
============================================================================
P =  4;   s =  2;   std1 =  5,00;   tau =  4,00  -->  NFE:    5233  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  5,00  -->  NFE:    5573  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:    6529  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:    6558  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  4,50  -->  NFE:    6675  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:    6698  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:    6847  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  3,50  -->  NFE:    7193  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:    8107  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:    8366  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:    9763  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,00  -->  NFE:   11052  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:   11422  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   12517  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   12876  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  2,50  -->  NFE:   13262  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   14107  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:   14130  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:   15238  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  4,50  -->  NFE:   15899  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:   16369  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,00  -->  NFE:   16554  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:   17143  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:   17266  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   17545  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:   17678  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s =  2;   std1 =  1,00;   tau =  5,00  -->  NFE:   18226  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   18290  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  5,00;   tau =  2,50  -->  NFE:   18290  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:   18464  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:   21430  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:   21527  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  2,50  -->  NFE:   22055  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:   22437  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   23391  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:   23854  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   24202  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  3,50  -->  NFE:   24346  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:   25260  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:   28098  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:   37301  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:   37750  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   39394  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s = 10;   std1 =  1,00;   tau =  1,50  -->  NFE:   40225  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   48867  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 =  5,00;   tau =  1,00  -->  NFE:   64688  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  8;   s = 10;   std1 =  1,00;   tau =  0,50  -->  NFE:   73082  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 16;   s =  2;   std1 = 10,00;   tau =  1,50  -->  NFE:   53171  -->  fx: 5,197204159821390E-06  -->  sd:1,848112561317650E-05
P = 16;   s =  2;   std1 =  5,00;   tau =  1,50  -->  NFE:   48407  -->  fx: 3,945877060421490E-04  -->  sd:1,972938530210490E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  4,50  -->  NFE:   42263  -->  fx: 5,911934977325340E-04  -->  sd:2,955967488507310E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:   30384  -->  fx: 5,964972051047780E-04  -->  sd:2,982486025523890E-03
P =  8;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:   47457  -->  fx: 8,867424246412270E-04  -->  sd:3,248526834707690E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   34801  -->  fx: 1,160654777372490E-03  -->  sd:4,682407012871590E-03
P =  8;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   56460  -->  fx: 1,376535042200460E-03  -->  sd:6,882672470652080E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:   68117  -->  fx: 1,474693027188900E-03  -->  sd:7,373465135167370E-03
P =  8;   s =  2;   std1 =  5,00;   tau =  3,00  -->  NFE:   30204  -->  fx: 1,670556924539340E-03  -->  sd:8,352784622696710E-03
P =  8;   s = 10;   std1 = 10,00;   tau =  2,00  -->  NFE:   51031  -->  fx: 1,670707441130290E-03  -->  sd:8,353537205651460E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  2,00  -->  NFE:   48241  -->  fx: 1,705343737507680E-03  -->  sd:8,526718687538400E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:   41670  -->  fx: 1,772478029034930E-03  -->  sd:6,134711889280640E-03
P =  8;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:   53395  -->  fx: 1,968312071362900E-03  -->  sd:7,136806582248820E-03
P =  8;   s = 10;   std1 =  1,00;   tau =  2,00  -->  NFE:   51578  -->  fx: 2,391981619025240E-03  -->  sd:6,739002308778540E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:   60490  -->  fx: 2,460569301398140E-03  -->  sd:6,466358485122610E-03
P = 16;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   97867  -->  fx: 2,702752627583080E-03  -->  sd:9,104097230198780E-03
P =  4;   s = 10;   std1 =  1,00;   tau =  4,00  -->  NFE:   38689  -->  fx: 2,757976524468500E-03  -->  sd:6,604157540864000E-03
P = 16;   s = 10;   std1 =  1,00;   tau =  1,00  -->  NFE:   93206  -->  fx: 2,765578420947640E-03  -->  sd:6,599835431137640E-03
