




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 6,451723379626640E-03  -->  sd:7,728106000266350E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 6,968877427155580E-03  -->  sd:7,503833665500050E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 8,011914917462370E-03  -->  sd:9,418290609873700E-03
P =  8;   s =  2;   std1 = 10,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 8,873296178970640E-03  -->  sd:7,543387265306510E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 9,423552719259380E-03  -->  sd:8,318486943604990E-03
P =  4;   s = 10;   std1 = 10,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 9,798591104047380E-03  -->  sd:9,929148399994040E-03
P =  4;   s = 10;   std1 =  5,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 9,872718589676140E-03  -->  sd:1,033830902747140E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 1,227656135103850E-02  -->  sd:1,172410462452390E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,460965978938340E-02  -->  sd:1,348539315346060E-02
P =  4;   s = 10;   std1 =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,488871558275680E-02  -->  sd:1,740506650895680E-02
P =  8;   s =  2;   std1 =  5,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,600540434289750E-02  -->  sd:1,127459090969010E-02
P =  4;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,665482702652630E-02  -->  sd:8,226185098314780E-03
P =  8;   s = 10;   std1 = 10,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,921178589605530E-02  -->  sd:1,695225145924300E-02
P =  8;   s =  2;   std1 = 10,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,933477402850520E-02  -->  sd:1,132450712968190E-02
P =  8;   s = 10;   std1 = 10,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 2,099171888320140E-02  -->  sd:1,839966971765370E-02
