




============================================================================
Função: Griewangk
============================================================================
P =  8;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,734607635542820E-03  -->  sd:3,881824135080380E-03
P =  8;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 8,244606302072520E-03  -->  sd:8,151663418404730E-03
P =  8;   s =  1;   std1 =  8,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 1,059137870408740E-02  -->  sd:1,334128573294240E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 1,186933939308850E-02  -->  sd:1,187831775730730E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,222388963966220E-02  -->  sd:6,364596693973900E-03
P =  4;   s =  2;   std1 =  4,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,292579775872850E-02  -->  sd:7,494345603004020E-03
P =  4;   s =  2;   std1 =  4,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,325270731466400E-02  -->  sd:1,705043214031050E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 1,368022991418500E-02  -->  sd:2,148566345089020E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 1,585578758868170E-02  -->  sd:1,480417713530230E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 1,699862225272530E-02  -->  sd:1,358887120196980E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  2,50  -->  NFE:  100143  -->  fx: 1,798147658778700E-02  -->  sd:2,863160333155470E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 2,027173128603800E-02  -->  sd:2,538337698679390E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,253962164878600E-02  -->  sd:2,019587501276410E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 2,290844167833180E-02  -->  sd:9,227191184589010E-03
P =  4;   s =  2;   std1 =  8,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,298780433869130E-02  -->  sd:8,759411557313640E-03
P =  8;   s =  2;   std1 =  8,00;   tau =  3,50  -->  NFE:  100143  -->  fx: 2,501256470971820E-02  -->  sd:2,876164562251970E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 2,574864516639490E-02  -->  sd:1,565234871282490E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 2,627745497186360E-02  -->  sd:1,106586089472720E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:  100143  -->  fx: 2,872094314355720E-02  -->  sd:1,596072073775170E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  2,00  -->  NFE:  100153  -->  fx: 3,013109734175640E-02  -->  sd:2,923940021406540E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 3,032741595693190E-02  -->  sd:1,172840630389120E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 3,171789886426430E-02  -->  sd:1,224958028014100E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  2,50  -->  NFE:  100153  -->  fx: 3,334454788406230E-02  -->  sd:2,833020462803590E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,00  -->  NFE:  100143  -->  fx: 3,482221859196280E-02  -->  sd:3,744023296953470E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 3,610284237331040E-02  -->  sd:1,434569951445950E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 3,787185447302820E-02  -->  sd:2,106953284802160E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  4,50  -->  NFE:  100143  -->  fx: 3,963572954097050E-02  -->  sd:2,876484620812750E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  4,50  -->  NFE:   97045  -->  fx: 4,128937121001500E-02  -->  sd:3,353467923588940E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  5,00  -->  NFE:  100143  -->  fx: 4,208129821224820E-02  -->  sd:7,779642871275690E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 4,304151148569470E-02  -->  sd:1,251876613398100E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  4,00  -->  NFE:   97533  -->  fx: 4,406803220079280E-02  -->  sd:3,220676333929420E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  3,00  -->  NFE:  100143  -->  fx: 4,484685325735610E-02  -->  sd:8,398557192008710E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:  100153  -->  fx: 4,736390883527460E-02  -->  sd:3,376329872569720E-02
P =  8;   s =  1;   std1 =  4,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 5,074930794055650E-02  -->  sd:2,708645222881450E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 5,266254811086680E-02  -->  sd:5,107057309892770E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  3,00  -->  NFE:   98702  -->  fx: 5,289184140281060E-02  -->  sd:3,990605675733640E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 5,401917213904140E-02  -->  sd:1,496053175660660E-02
P = 16;   s =  1;   std1 =  8,00;   tau =  5,00  -->  NFE:   95453  -->  fx: 5,516706893251660E-02  -->  sd:6,314973371710820E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 6,013688452249220E-02  -->  sd:1,638084636655000E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 6,237371119357800E-02  -->  sd:1,508995629786960E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 6,568177661645600E-02  -->  sd:1,651517966089140E-02
P =  4;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,613070963168130E-02  -->  sd:1,879324874392750E-02
P =  4;   s =  2;   std1 =  4,00;   tau =  2,00  -->  NFE:  100036  -->  fx: 6,776342687672150E-02  -->  sd:3,238023427830910E-02
P =  8;   s =  2;   std1 =  8,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 7,010555830760200E-02  -->  sd:3,391742945040930E-02
P =  4;   s =  1;   std1 =  4,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 7,023630106398130E-02  -->  sd:2,487445074314270E-02
P =  8;   s =  1;   std1 =  8,00;   tau =  1,50  -->  NFE:  100143  -->  fx: 8,222737436475420E-02  -->  sd:3,580404208628790E-02
P =  4;   s =  2;   std1 =  8,00;   tau =  2,50  -->  NFE:  100036  -->  fx: 8,608908945423190E-02  -->  sd:2,327107114376000E-02
