




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,168020163009270E-03  -->  sd:6,414301190594050E-03
P = 12;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,235996936537710E-03  -->  sd:9,571712664699540E-03
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 7,799021263289890E-03  -->  sd:9,659475713421000E-03
P =  4;   s = 10;   porc =  1,00;   tau =  3,50  -->  NFE:  100036  -->  fx: 8,549740728302360E-03  -->  sd:7,170852025965230E-03
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,720422276308590E-03  -->  sd:8,862165287138800E-03
P =  4;   s = 10;   porc =  1,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 9,156357090078590E-03  -->  sd:8,409275630967600E-03
P =  4;   s = 10;   porc =  5,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 9,982430306157070E-03  -->  sd:6,504464773853470E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,170457236696860E-02  -->  sd:1,321439821565660E-02
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,253976316362110E-02  -->  sd:1,445743874752340E-02
P =  4;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,298621269274650E-02  -->  sd:1,171326974796120E-02
P =  4;   s = 10;   porc =  1,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,439509522139210E-02  -->  sd:1,182156862710520E-02
P = 12;   s =  2;   porc = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,546963031342750E-02  -->  sd:2,136947847514460E-02
P =  4;   s = 10;   porc =  5,00;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,550506487096710E-02  -->  sd:7,468573725394850E-03
P = 12;   s =  2;   porc =  5,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,720507209218820E-02  -->  sd:1,999748350476360E-02
P = 12;   s =  2;   porc =  5,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,750488564880550E-02  -->  sd:1,276501408545230E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,772901582233150E-02  -->  sd:2,365696941525680E-02
P =  4;   s = 10;   porc =  5,00;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,884666571959270E-02  -->  sd:9,296904437651820E-03
P = 12;   s =  2;   porc =  5,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,972085288795440E-02  -->  sd:1,904288954836860E-02
P = 12;   s = 10;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,000674316225020E-02  -->  sd:1,633172423057730E-02
P = 12;   s = 10;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,023853845082160E-02  -->  sd:1,311478120589240E-02
P =  4;   s = 10;   porc =  1,00;   tau =  3,00  -->  NFE:  100036  -->  fx: 2,031074664791390E-02  -->  sd:1,288424744312160E-02
P = 12;   s = 10;   porc =  5,00;   tau =  3,00  -->  NFE:   98608  -->  fx: 2,190429310722360E-02  -->  sd:1,975513144773600E-02
P = 12;   s =  2;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,230062774041070E-02  -->  sd:1,221432318941040E-02
P = 12;   s = 10;   porc =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,302607002523700E-02  -->  sd:1,853651623017920E-02
P = 12;   s =  2;   porc = 50,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 2,355484560938040E-02  -->  sd:1,799139280332460E-02
P = 12;   s = 10;   porc =  5,00;   tau =  5,00  -->  NFE:   85681  -->  fx: 2,401930278025120E-02  -->  sd:2,224297040675710E-02
P = 12;   s = 10;   porc =  1,00;   tau =  4,50  -->  NFE:   95861  -->  fx: 2,509249645620970E-02  -->  sd:1,680881955201590E-02
P =  4;   s = 10;   porc = 10,00;   tau =  5,00  -->  NFE:  100036  -->  fx: 2,759024968593860E-02  -->  sd:9,159353072633700E-03
P = 12;   s = 10;   porc = 10,00;   tau =  3,50  -->  NFE:   97249  -->  fx: 2,781497783832150E-02  -->  sd:1,996266638393810E-02
P = 12;   s = 10;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,876740536025530E-02  -->  sd:1,786112331323330E-02
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,882870170232390E-02  -->  sd:1,000330186291870E-02
P = 12;   s = 10;   porc =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 2,954174465778030E-02  -->  sd:1,952700767416330E-02
P = 12;   s =  2;   porc = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 2,984302166862040E-02  -->  sd:2,316742563132520E-02
P = 12;   s = 10;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 3,021375831698270E-02  -->  sd:2,673244039503450E-02
P = 12;   s = 10;   porc = 10,00;   tau =  4,50  -->  NFE:   91349  -->  fx: 3,039663921928420E-02  -->  sd:2,641323419520080E-02
P = 12;   s = 10;   porc =  5,00;   tau =  3,50  -->  NFE:   97210  -->  fx: 3,059893340832420E-02  -->  sd:1,773394670267590E-02
P = 12;   s = 10;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,071283183360910E-02  -->  sd:2,003666443810050E-02
P = 12;   s = 10;   porc =  5,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 3,091966946680600E-02  -->  sd:1,842923635841170E-02
P = 12;   s =  2;   porc = 50,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,190269993463000E-02  -->  sd:2,250590724404460E-02
P = 12;   s =  2;   porc =  5,00;   tau =  4,50  -->  NFE:  100016  -->  fx: 3,192012315355060E-02  -->  sd:3,808258849811930E-02
P = 12;   s = 10;   porc = 50,00;   tau =  5,00  -->  NFE:   99668  -->  fx: 3,354968183082160E-02  -->  sd:2,383839364163190E-02
P = 12;   s = 10;   porc =  5,00;   tau =  4,50  -->  NFE:   97606  -->  fx: 3,374364799610180E-02  -->  sd:1,924669760253830E-02
