




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,294063783646440E-03  -->  sd:8,028589216831900E-03
P = 12;   s =  1;   porc =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,344285635771140E-03  -->  sd:8,171101559302610E-03
P = 12;   s =  1;   porc =  3,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 8,724507090735440E-03  -->  sd:9,095050845492130E-03
P = 12;   s =  1;   porc =  3,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,058583467893070E-02  -->  sd:1,267093915302240E-02
P = 12;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,181327044935060E-02  -->  sd:1,383542584311330E-02
P = 12;   s =  1;   porc =  5,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,197537748213070E-02  -->  sd:1,347416777152830E-02
P = 12;   s =  2;   porc =  5,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,204755432610760E-02  -->  sd:1,308468015881130E-02
P = 12;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,351705676503660E-02  -->  sd:1,141830711315840E-02
P = 12;   s =  2;   porc =  3,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,405229115886040E-02  -->  sd:1,423570004401770E-02
P =  4;   s =  2;   porc =  0,30;   tau =  3,50  -->  NFE:  100036  -->  fx: 1,407426372877580E-02  -->  sd:8,767118625799560E-03
P = 12;   s =  2;   porc =  5,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,544871734738770E-02  -->  sd:1,202960894723340E-02
P =  4;   s =  2;   porc =  0,50;   tau =  4,50  -->  NFE:  100036  -->  fx: 1,577402501341390E-02  -->  sd:8,284241167995040E-03
P = 12;   s =  2;   porc =  3,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,620638642327130E-02  -->  sd:1,587932714821780E-02
P =  4;   s =  2;   porc =  0,50;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,634797078645700E-02  -->  sd:8,152383037979950E-03
P =  4;   s =  2;   porc =  0,50;   tau =  5,00  -->  NFE:  100036  -->  fx: 1,642433641137270E-02  -->  sd:9,795396096682530E-03
P = 12;   s =  1;   porc =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,647862997123370E-02  -->  sd:1,049688773592450E-02
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,657725356687500E-02  -->  sd:1,535151568681730E-02
P =  4;   s =  2;   porc =  0,30;   tau =  4,00  -->  NFE:  100036  -->  fx: 1,676851803675640E-02  -->  sd:2,456561199886870E-02
P = 12;   s =  1;   porc =  0,50;   tau =  2,00  -->  NFE:  100016  -->  fx: 1,706396712504680E-02  -->  sd:1,202105140571550E-02
P =  4;   s =  2;   porc =  0,30;   tau =  3,00  -->  NFE:  100036  -->  fx: 1,740501462880060E-02  -->  sd:9,217109913947080E-03
P = 12;   s =  2;   porc =  1,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,778581403986510E-02  -->  sd:1,763810800475010E-02
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,804450574158320E-02  -->  sd:1,139743262412980E-02
P = 12;   s =  2;   porc =  1,00;   tau =  2,00  -->  NFE:  100016  -->  fx: 2,076793462934240E-02  -->  sd:1,675929526835200E-02
P = 12;   s =  1;   porc =  1,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,086641451626570E-02  -->  sd:2,454612818528450E-02
P = 12;   s =  1;   porc = 10,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,244407852973270E-02  -->  sd:2,175466102221570E-02
P = 12;   s =  2;   porc =  5,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,250748957338530E-02  -->  sd:1,727837452579750E-02
P = 12;   s =  2;   porc =  1,00;   tau =  3,00  -->  NFE:   98570  -->  fx: 2,306849543211160E-02  -->  sd:1,725698069967230E-02
P =  4;   s =  2;   porc =  0,50;   tau =  3,50  -->  NFE:  100036  -->  fx: 2,320971476244490E-02  -->  sd:7,215085222335310E-03
P = 12;   s =  2;   porc =  3,00;   tau =  4,00  -->  NFE:   86500  -->  fx: 2,410584101808820E-02  -->  sd:2,232761625065170E-02
P = 12;   s =  1;   porc =  3,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 2,440508065802670E-02  -->  sd:2,029353709166030E-02
P = 12;   s =  2;   porc =  1,00;   tau =  5,00  -->  NFE:   93643  -->  fx: 2,509249803485670E-02  -->  sd:1,556449066728520E-02
P = 12;   s =  1;   porc = 10,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 2,517616338681090E-02  -->  sd:2,101405746469870E-02
