




============================================================================
============================================================================
TUNING: 4
============================================================================
============================================================================










============================================================================
Função: Griewangk
============================================================================
P =  5;   s =  1;   std1 =  1,00;   tau =  2,50  -->  NFE:    3168  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:    3220  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  2,50  -->  NFE:    3223  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:    3613  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  3,00  -->  NFE:    3698  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  3,00  -->  NFE:    3866  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:    4098  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:    4618  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,00  -->  NFE:    4701  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  4,00  -->  NFE:    5165  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:    5240  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  3,50  -->  NFE:    5326  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  3,50  -->  NFE:    5430  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  2,00  -->  NFE:    5526  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  2,50  -->  NFE:    5551  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  1,50  -->  NFE:    5703  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,00  -->  NFE:    6110  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  1,50  -->  NFE:    6116  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  2,50  -->  NFE:    6225  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  1,50  -->  NFE:    6613  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  2,00  -->  NFE:    6885  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  2,00  -->  NFE:    6888  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  2,00  -->  NFE:    7235  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  1,00  -->  NFE:    7495  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  2,50  -->  NFE:    7496  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  0,50  -->  NFE:    7665  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  1,00  -->  NFE:    7715  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  2,50  -->  NFE:    7943  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  1,50  -->  NFE:    7981  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  1,00;   tau =  4,00  -->  NFE:    8026  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:    8091  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  3,00  -->  NFE:    8110  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  4,50  -->  NFE:    8163  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  2,00;   tau =  5,00  -->  NFE:    8255  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  1,50  -->  NFE:    8326  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  3,50  -->  NFE:    8356  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  1,00  -->  NFE:    8983  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  3,00  -->  NFE:    9410  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  1,00  -->  NFE:    9731  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  1,50  -->  NFE:    9813  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  2,00  -->  NFE:   10085  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  3,50  -->  NFE:   10166  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  0,50  -->  NFE:   10898  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  2,50  -->  NFE:   10955  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 = 10,00;   tau =  5,00  -->  NFE:   11018  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  1,50  -->  NFE:   11051  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  1,00  -->  NFE:   11143  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  0,50  -->  NFE:   11155  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  3,00  -->  NFE:   11156  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  1,50  -->  NFE:   11456  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  4,00  -->  NFE:   12080  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  0,50;   tau =  1,00  -->  NFE:   12378  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  3,00  -->  NFE:   12431  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  2,00;   tau =  4,00  -->  NFE:   12533  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  1,00  -->  NFE:   12613  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  0,50;   tau =  2,00  -->  NFE:   12765  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  0,50;   tau =  1,50  -->  NFE:   13590  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  2,00  -->  NFE:   13790  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  2,00;   tau =  1,00  -->  NFE:   14500  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  2,00;   tau =  3,50  -->  NFE:   14678  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  3,00  -->  NFE:   14741  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 =  1,00;   tau =  3,50  -->  NFE:   14768  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  0,50;   tau =  1,00  -->  NFE:   14801  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P = 10;   s =  1;   std1 =  1,00;   tau =  2,00  -->  NFE:   14950  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  4;   std1 =  1,00;   tau =  0,50  -->  NFE:   15308  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  2;   std1 = 10,00;   tau =  4,50  -->  NFE:   16293  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
P =  5;   s =  1;   std1 =  0,50;   tau =  3,50  -->  NFE:   16895  -->  fx: 0,000000000000000E+00  -->  sd:0,000000000000000E+00
